Rk,Team,From,To,xG,MP,W,D,L,Pts,Pts/MP,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG.1,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,Reims,2024-2025,2024-2025,0.9,2,0,1,1,1,0.5,2,4,-2,33.0,2,0,0,0,0.9,0.9,-4.2,-4.2,0.6,0.7,1.1,1.1,-0.6,0.06,15,0.13,0.67,3,20.0,19.2,0
2,Angers,2024-2025,2024-2025,1.0,2,0,0,2,0,0.0,0,3,-3,39.0,0,0,0,0,1.0,1.0,-1.1,-1.1,0.8,0.7,-1.0,-1.0,-0.8,0.07,14,0.0,0.0,5,35.7,19.0,0
3,Saint-Étienne,2024-2025,2024-2025,1.5,2,0,0,2,0,0.0,0,3,-3,49.0,0,0,0,0,1.5,1.5,-2.8,-2.0,0.9,0.7,-1.5,-1.5,-0.9,0.05,30,0.0,0.0,9,30.0,18.3,1
4,Strasbourg,2024-2025,2024-2025,1.6,2,1,1,0,4,2.0,4,2,2,58.5,3,0,0,0,1.6,1.6,-0.8,-0.1,1.0,1.2,1.4,1.4,1.0,0.07,22,0.14,0.33,9,40.9,14.3,0
5,Nantes,2024-2025,2024-2025,1.9,2,1,1,0,4,2.0,2,0,2,41.0,2,0,0,0,1.9,1.9,-0.9,-0.9,1.3,1.0,0.1,0.1,-0.3,0.1,19,0.11,0.29,7,36.8,16.1,1
6,Montpellier,2024-2025,2024-2025,1.9,2,0,1,1,1,0.5,1,7,-6,37.0,0,1,1,0,1.9,1.2,-2.8,-3.5,1.0,1.1,-0.9,-1.2,-1.0,0.08,15,0.0,0.0,7,46.7,16.8,1
7,Nice,2024-2025,2024-2025,2.0,2,0,1,1,1,0.5,2,3,-1,56.0,2,0,0,0,2.0,2.0,-0.8,-0.8,1.7,1.9,0.0,0.0,0.3,0.1,20,0.1,0.4,5,25.0,14.0,2
8,Lyon,2024-2025,2024-2025,2.1,2,0,0,2,0,0.0,0,5,-5,46.5,0,0,1,1,2.1,1.2,-2.2,-3.1,0.6,1.7,-2.1,-1.2,-0.6,0.08,16,0.0,0.0,1,6.3,16.7,0
9,Brest,2024-2025,2024-2025,2.2,2,0,0,2,0,0.0,1,7,-6,49.0,1,0,1,1,2.2,1.4,-3.1,-2.3,1.1,1.2,-1.2,-0.4,-0.1,0.07,20,0.05,0.13,8,40.0,17.9,0
10,Le Havre,2024-2025,2024-2025,2.6,2,1,0,1,3,1.5,3,4,-1,32.5,2,1,1,0,2.6,1.8,-1.4,-1.4,1.6,1.3,0.4,0.2,0.4,0.1,18,0.11,0.33,6,33.3,20.1,0
11,Toulouse,2024-2025,2024-2025,2.7,2,0,2,0,2,1.0,1,1,0,48.5,1,0,0,0,2.7,2.7,1.0,1.0,2.3,1.7,-1.7,-1.7,-1.3,0.1,27,0.04,0.11,9,33.3,15.4,1
12,Lille,2024-2025,2024-2025,2.9,2,2,0,0,6,3.0,4,0,4,66.0,4,0,0,0,2.9,2.9,2.3,2.3,1.9,2.1,1.1,1.1,0.1,0.09,33,0.12,0.33,12,36.4,16.9,2
13,Auxerre,2024-2025,2024-2025,2.9,2,1,0,1,3,1.5,2,3,-1,54.5,2,0,0,0,2.9,2.9,0.8,0.8,2.9,3.0,-0.9,-0.9,-0.9,0.11,28,0.07,0.2,10,35.7,16.2,1
14,Rennes,2024-2025,2024-2025,3.1,2,1,0,1,3,1.5,4,3,1,44.0,4,0,0,0,3.1,3.1,0.3,1.2,2.0,2.3,0.9,0.9,0.0,0.09,36,0.11,0.31,13,36.1,16.7,2
15,Lens,2024-2025,2024-2025,4.1,2,2,0,0,6,3.0,3,0,3,55.0,2,0,0,0,4.1,4.1,2.9,2.9,3.0,3.0,-2.1,-2.1,-1.0,0.14,30,0.07,0.15,13,43.3,14.7,1
16,Monaco,2024-2025,2024-2025,4.2,2,2,0,0,6,3.0,3,0,3,60.5,3,0,0,0,4.2,4.2,3.7,3.7,3.3,3.5,-1.2,-1.2,-0.3,0.11,38,0.08,0.25,12,31.6,17.1,0
17,Marseille,2024-2025,2024-2025,5.4,2,1,1,0,4,2.0,7,3,4,58.0,5,2,2,0,5.4,3.8,3.2,2.4,1.9,1.6,1.6,1.2,1.1,0.16,26,0.19,0.38,13,50.0,16.6,0
18,Paris Saint-Germain,2024-2025,2024-2025,6.7,2,2,0,0,6,3.0,10,1,9,72.0,9,1,1,0,6.7,5.9,5.9,5.1,5.6,3.7,3.3,3.1,3.4,0.14,41,0.22,0.47,19,46.3,16.4,4
